Column1,epochs,batch,neuronsLSTM,neuronsDense,learningRate,mseTrain,mseTest
61,2000,100,100,20,0.005,0.036409379,0.003884728
42,2000,100,80,20,0.0005,0.047524346,0.002992214
41,2000,100,80,20,0.005,0.051177278,0.016997999
36,2000,100,40,100,0.005,0.054002493,0.013321133
67,2000,100,100,40,0.0005,0.05632186,0.003902766
47,2000,100,80,40,0.0005,0.057659656,0.003429827
51,2000,100,80,80,0.005,0.072134807,0.063721728
52,2000,100,80,80,0.0005,0.07434547,0.015660518
77,2000,100,100,100,0.0005,0.076531681,0.003554153
62,2000,100,100,20,0.0005,0.078562973,0.008960163
37,2000,100,40,100,0.0005,0.081268709,0.005694671
71,2000,100,100,80,0.005,0.085628127,0.005521946
72,2000,100,100,80,0.0005,0.085795759,0.018533445
27,2000,100,40,40,0.0005,0.08759014,0.010112283
26,2000,100,40,40,0.005,0.093386146,0.008211739
57,2000,100,80,100,0.0005,0.093440042,0.020742376
22,2000,100,40,20,0.0005,0.09713579,0.021455826
12,2000,100,20,80,0.0005,0.09811641,0.003016058
66,2000,100,100,40,0.005,0.099902069,0.003597022
2,2000,100,20,20,0.0005,0.10402024,0.011319207
68,2000,100,100,40,5.00E-05,0.105088811,0.007658351
7,2000,100,20,40,0.0005,0.113787126,0.018800187
56,2000,100,80,100,0.005,0.125138817,0.129063439
17,2000,100,20,100,0.0005,0.140460846,0.03337438
73,2000,100,100,80,5.00E-05,0.14401553,0.004671979
43,2000,100,80,20,5.00E-05,0.147111205,0.00565374
78,2000,100,100,100,5.00E-05,0.149891984,0.007163991
32,2000,100,40,80,0.0005,0.150135596,0.025023214
28,2000,100,40,40,5.00E-05,0.151262794,0.005709337
58,2000,100,80,100,5.00E-05,0.153610815,0.015067485
23,2000,100,40,20,5.00E-05,0.157292996,0.009235028
33,2000,100,40,80,5.00E-05,0.158913723,0.006616705
48,2000,100,80,40,5.00E-05,0.159595023,0.005136062
53,2000,100,80,80,5.00E-05,0.164892342,0.021036226
38,2000,100,40,100,5.00E-05,0.169433223,0.025312055
1,2000,100,20,20,0.005,0.170054351,0.040153029
13,2000,100,20,80,5.00E-05,0.174721088,0.006643368
63,2000,100,100,20,5.00E-05,0.178396659,0.004315933
8,2000,100,20,40,5.00E-05,0.1786987,0.011896693
31,2000,100,40,80,0.005,0.190245964,0.121421761
18,2000,100,20,100,5.00E-05,0.196885197,0.013631413
3,2000,100,20,20,5.00E-05,0.200691633,0.011056463
79,2000,100,100,100,5.00E-06,0.207055521,0.022287879
49,2000,100,80,40,5.00E-06,0.209780909,0.005156274
59,2000,100,80,100,5.00E-06,0.212341369,0.012277617
74,2000,100,100,80,5.00E-06,0.223466089,0.004502105
6,2000,100,20,40,0.005,0.229632986,0.254437005
39,2000,100,40,100,5.00E-06,0.240418498,0.00553906
54,2000,100,80,80,5.00E-06,0.244083563,0.024476747
16,2000,100,20,100,0.005,0.263788837,0.087664841
44,2000,100,80,20,5.00E-06,0.275928328,0.024555885
76,2000,100,100,100,0.005,0.280721373,0.288740213
69,2000,100,100,40,5.00E-06,0.286833014,0.045178609
24,2000,100,40,20,5.00E-06,0.291681703,0.020138578
29,2000,100,40,40,5.00E-06,0.301244183,0.011233593
64,2000,100,100,20,5.00E-06,0.328887943,0.016224491
9,2000,100,20,40,5.00E-06,0.352217698,0.009538617
4,2000,100,20,20,5.00E-06,0.35870214,0.021359982
34,2000,100,40,80,5.00E-06,0.361409173,0.024531143
46,2000,100,80,40,0.005,0.362665308,0.356673096
11,2000,100,20,80,0.005,0.424950403,0.460869654
19,2000,100,20,100,5.00E-06,0.437567302,0.025032584
60,2000,100,100,20,0.05,0.442400909,0.199880159
14,2000,100,20,80,5.00E-06,0.456461149,0.023945201
20,2000,100,40,20,0.05,0.513905376,0.189889854
21,2000,100,40,20,0.005,0.826645692,0.940101473
5,2000,100,20,40,0.05,0.977728874,0.692906801
30,2000,100,40,80,0.05,1.419004887,0.297954084
0,2000,100,20,20,0.05,3.118947126,0.02546387
25,2000,100,40,40,0.05,14.83259761,2.824648494
55,2000,100,80,100,0.05,15.93044262,3.577759208
40,2000,100,80,20,0.05,15.93289068,2.376171747
70,2000,100,100,80,0.05,16.06219047,4.491759675
50,2000,100,80,80,0.05,16.18068979,1.43106751
15,2000,100,20,100,0.05,16.39724892,1.04857789
75,2000,100,100,100,0.05,16.45627116,6.058162466
45,2000,100,80,40,0.05,17.17254517,0.379702637
65,2000,100,100,40,0.05,24.7635708,21.98338843
10,2000,100,20,80,0.05,61.31482429,66.86852147
35,2000,100,40,100,0.05,68.44784772,44.45181075
