Date,Open,trueTomorrow,predictedTomorrow,predictedAction,predicted,residual,stock
2018-11-19,1.340000033,1.360000014,1.363571615,buy,,,ford
2018-11-20,1.360000014,1.370000005,1.365323503,buy,1.363571615,0.0035716,ford
2018-11-21,1.370000005,1.350000024,1.371131825,buy,1.365323503,-0.004676502,ford
2018-11-23,1.350000024,1.389999986,1.359022806,buy,1.371131825,0.021131802,ford
2018-11-26,1.389999986,1.370000005,1.380419095,sell,1.359022806,-0.03097718,ford
2018-11-27,1.370000005,1.320000052,1.37534278,buy,1.380419095,0.01041909,ford
2018-11-28,1.320000052,1.370000005,1.341586723,buy,1.37534278,0.055342728,ford
2018-11-29,1.370000005,1.360000014,1.363359834,sell,1.341586723,-0.028413282,ford
2018-11-30,1.360000014,1.370000005,1.364797613,buy,1.363359834,0.00335982,ford
2018-12-03,1.370000005,1.440000057,1.370907682,buy,1.364797613,-0.005202391,ford
2018-12-04,1.440000057,1.350000024,1.417431409,sell,1.370907682,-0.069092376,ford
2018-12-06,1.350000024,1.419999957,1.375827943,buy,1.417431409,0.067431385,ford
2018-12-07,1.419999957,1.429999948,1.407194624,sell,1.375827943,-0.044172014,ford
2018-12-10,1.429999948,1.409999967,1.426072808,sell,1.407194624,-0.022805323,ford
2018-12-11,1.409999967,1.440000057,1.417829535,buy,1.426072808,0.016072841,ford
2018-12-12,1.440000057,1.419999957,1.435867611,sell,1.417829535,-0.022170522,ford
2018-12-13,1.419999957,1.419999957,1.430242174,buy,1.435867611,0.015867654,ford
2018-12-14,1.419999957,1.419999957,1.427321563,buy,1.430242174,0.010242217,ford
2018-12-17,1.419999957,1.440000057,1.427873285,buy,1.427321563,0.007321606,ford
2018-12-18,1.440000057,1.399999976,1.44147578,buy,1.427873285,-0.012126772,ford
2018-12-19,1.399999976,1.399999976,1.418764036,buy,1.44147578,0.041475804,ford
2018-12-20,1.399999976,1.350000024,1.411162128,buy,1.418764036,0.01876406,ford
2018-12-21,1.350000024,1.200000048,1.377768123,buy,1.411162128,0.061162104,ford
2018-12-24,1.200000048,1.289999962,1.270096271,buy,1.377768123,0.177768075,ford
2018-12-26,1.289999962,1.230000019,1.291993202,buy,1.270096271,-0.019903691,ford
2018-12-27,1.230000019,1.299999952,1.261097579,buy,1.291993202,0.061993183,ford
2018-12-28,1.299999952,1.289999962,1.291684169,sell,1.261097579,-0.038902373,ford
2018-12-31,1.289999962,1.269999981,1.295011687,buy,1.291684169,0.001684207,ford
2019-01-02,1.269999981,1.340000033,1.28152246,buy,1.295011687,0.025011706,ford
2019-01-03,1.340000033,1.320000052,1.323402725,sell,1.28152246,-0.058477573,ford
2019-01-04,1.320000052,1.330000043,1.325905069,buy,1.323402725,0.003402673,ford
2019-01-07,1.330000043,1.370000005,1.33297545,buy,1.325905069,-0.004094974,ford
2019-01-08,1.370000005,1.370000005,1.362524383,sell,1.33297545,-0.037024555,ford
2019-01-09,1.370000005,1.379999995,1.372257006,buy,1.362524383,-0.007475622,ford
2019-01-10,1.379999995,1.399999976,1.381334378,buy,1.372257006,-0.007742989,ford
2019-01-11,1.399999976,1.470000029,1.397320954,sell,1.381334378,-0.018665598,ford
2019-01-14,1.470000029,1.49000001,1.446751638,sell,1.397320954,-0.072679075,ford
2019-01-15,1.49000001,1.470000029,1.475345136,sell,1.446751638,-0.043248372,ford
2019-01-16,1.470000029,1.429999948,1.470811343,buy,1.475345136,0.005345107,ford
2019-01-17,1.429999948,1.460000038,1.444594315,buy,1.470811343,0.040811396,ford
2019-01-18,1.460000038,1.450000048,1.458745466,sell,1.444594315,-0.015405723,ford
2019-01-22,1.450000048,1.450000048,1.456454639,buy,1.458745466,0.008745419,ford
2019-01-23,1.450000048,1.450000048,1.454939214,buy,1.456454639,0.006454592,ford
2019-01-24,1.450000048,1.470000029,1.453467192,buy,1.454939214,0.004939166,ford
2019-01-25,1.470000029,1.480000019,1.464304291,sell,1.453467192,-0.016532837,ford
2019-01-28,1.480000019,1.480000019,1.474504231,sell,1.464304291,-0.015695728,ford
2019-01-29,1.480000019,1.460000038,1.4781153,sell,1.474504231,-0.005495788,ford
2019-01-30,1.460000038,1.440000057,1.466001505,buy,1.4781153,0.018115262,ford
2019-01-31,1.440000057,1.460000038,1.450570393,buy,1.466001505,0.026001448,ford
2019-02-01,1.460000038,1.50999999,1.458648845,sell,1.450570393,-0.009429646,ford
2019-02-04,1.50999999,1.529999971,1.493912616,sell,1.458648845,-0.051351146,ford
2019-02-05,1.529999971,1.570000052,1.51663233,sell,1.493912616,-0.036087355,ford
2019-02-06,1.570000052,1.580000043,1.548427766,sell,1.51663233,-0.053367722,ford
2019-02-07,1.580000043,1.549999952,1.565668658,sell,1.548427766,-0.031572277,ford
2019-02-08,1.549999952,1.570000052,1.551366837,buy,1.565668658,0.015668706,ford
2019-02-11,1.570000052,1.559999943,1.561644829,sell,1.551366837,-0.018633215,ford
2019-02-12,1.559999943,1.659999967,1.560919465,buy,1.561644829,0.001644886,ford
2019-02-13,1.659999967,1.690000057,1.625231298,sell,1.560919465,-0.099080502,ford
2019-02-14,1.690000057,1.649999976,1.664084644,sell,1.625231298,-0.064768759,ford
2019-02-15,1.649999976,1.639999986,1.647480493,sell,1.664084644,0.014084668,ford
2019-02-19,1.639999986,1.629999995,1.63493177,sell,1.647480493,0.007480507,ford
2019-02-20,1.629999995,1.620000005,1.625526121,sell,1.63493177,0.004931775,ford
2019-02-21,1.620000005,1.659999967,1.618406512,sell,1.625526121,0.005526116,ford
2019-02-22,1.659999967,1.669999957,1.640542202,sell,1.618406512,-0.041593454,ford
2019-02-25,1.669999957,1.659999967,1.654726903,sell,1.640542202,-0.029457755,ford
2019-02-26,1.659999967,1.659999967,1.649900539,sell,1.654726903,-0.005273063,ford
2019-02-27,1.659999967,1.620000005,1.648519637,sell,1.649900539,-0.010099428,ford
2019-02-28,1.620000005,1.629999995,1.622969382,buy,1.648519637,0.028519632,ford
2019-03-01,1.629999995,1.649999976,1.621713527,sell,1.622969382,-0.007030613,ford
2019-03-04,1.649999976,1.649999976,1.635248973,sell,1.621713527,-0.028286449,ford
2019-03-05,1.649999976,1.629999995,1.639016055,sell,1.635248973,-0.014751003,ford
2019-03-06,1.629999995,1.639999986,1.626341251,sell,1.639016055,0.00901606,ford
2019-03-07,1.639999986,1.620000005,1.629581139,sell,1.626341251,-0.013658735,ford
2019-03-08,1.620000005,1.559999943,1.618800398,sell,1.629581139,0.009581134,ford
2019-03-11,1.559999943,1.549999952,1.576703985,buy,1.618800398,0.058800456,ford
2019-03-12,1.549999952,1.549999952,1.55749133,buy,1.576703985,0.026704033,ford
2019-03-13,1.549999952,1.539999962,1.548355076,sell,1.55749133,0.007491377,ford
2019-03-14,1.539999962,1.519999981,1.538534904,sell,1.548355076,0.008355114,ford
2019-03-15,1.519999981,1.5,1.521452928,buy,1.538534904,0.018534923,ford
2019-03-18,1.5,1.529999971,1.50278522,buy,1.521452928,0.021452928,ford
2019-03-19,1.529999971,1.529999971,1.516021693,sell,1.50278522,-0.027214752,ford
2019-03-20,1.529999971,1.529999971,1.520743264,sell,1.516021693,-0.013978279,ford
2019-03-21,1.529999971,1.50999999,1.520567952,sell,1.520743264,-0.009256707,ford
2019-03-22,1.50999999,1.519999981,1.509046832,sell,1.520567952,0.010567962,ford
2019-03-25,1.519999981,1.460000038,1.512581733,sell,1.509046832,-0.010953149,ford
2019-03-26,1.460000038,1.470000029,1.475490977,buy,1.512581733,0.052581695,ford
2019-03-27,1.470000029,1.5,1.469625612,sell,1.475490977,0.005490949,ford
2019-03-28,1.5,1.480000019,1.487889122,sell,1.469625612,-0.030374388,ford
2019-03-29,1.480000019,1.470000029,1.481112158,buy,1.487889122,0.007889103,ford
2019-04-01,1.470000029,1.460000038,1.471488119,buy,1.481112158,0.01111213,ford
2019-04-02,1.460000038,1.539999962,1.46341923,buy,1.471488119,0.011488081,ford
2019-04-03,1.539999962,1.559999943,1.512510747,sell,1.46341923,-0.076580732,ford
2019-04-04,1.559999943,1.529999971,1.540949297,sell,1.512510747,-0.047489195,ford
2019-04-05,1.529999971,1.480000019,1.529984581,sell,1.540949297,0.010949326,ford
2019-04-08,1.480000019,1.5,1.496237632,buy,1.529984581,0.049984562,ford
2019-04-09,1.5,1.529999971,1.502085473,buy,1.496237632,-0.003762368,ford
2019-04-10,1.529999971,1.49000001,1.524055971,sell,1.502085473,-0.027914498,ford
2019-04-11,1.49000001,1.519999981,1.503194669,buy,1.524055971,0.034055962,ford
2019-04-12,1.519999981,1.590000033,1.513363357,sell,1.503194669,-0.016805312,ford
2019-04-15,1.590000033,1.539999962,1.562050513,sell,1.513363357,-0.076636677,ford
2019-04-16,1.539999962,1.600000024,1.545228695,buy,1.562050513,0.022050551,ford
2019-04-17,1.600000024,1.600000024,1.577535443,sell,1.545228695,-0.054771329,ford
2019-04-18,1.600000024,1.600000024,1.588908268,sell,1.577535443,-0.022464581,ford
2019-04-22,1.600000024,1.580000043,1.594264235,sell,1.588908268,-0.011091756,ford
2019-04-23,1.580000043,1.529999971,1.58468516,buy,1.594264235,0.014264192,ford
2019-04-24,1.529999971,1.480000019,1.549190846,buy,1.58468516,0.054685189,ford
2019-04-25,1.480000019,1.529999971,1.507102233,buy,1.549190846,0.069190827,ford
2019-04-26,1.529999971,1.480000019,1.525364952,sell,1.507102233,-0.022897739,ford
2019-04-29,1.480000019,1.519999981,1.499271698,buy,1.525364952,0.045364933,ford
2019-04-30,1.519999981,1.5,1.513301857,sell,1.499271698,-0.020728283,ford
2019-05-01,1.5,1.480000019,1.504583223,buy,1.513301857,0.013301857,ford
2019-05-02,1.480000019,1.470000029,1.486788269,buy,1.504583223,0.024583204,ford
2019-05-03,1.470000029,1.5,1.474798864,buy,1.486788269,0.01678824,ford
2019-05-06,1.5,1.480000019,1.490023675,sell,1.474798864,-0.025201136,ford
2019-05-07,1.480000019,1.519999981,1.482239736,buy,1.490023675,0.010023656,ford
2019-05-08,1.519999981,1.5,1.504630034,sell,1.482239736,-0.037760245,ford
2019-05-09,1.5,1.49000001,1.500050817,buy,1.504630034,0.004630034,ford
2019-05-10,1.49000001,1.450000048,1.491778849,buy,1.500050817,0.010050807,ford
2019-05-13,1.450000048,1.480000019,1.46402791,buy,1.491778849,0.041778802,ford
2019-05-14,1.480000019,1.450000048,1.475357938,sell,1.46402791,-0.015972109,ford
2019-05-15,1.450000048,1.360000014,1.459019944,buy,1.475357938,0.025357891,ford
2019-05-16,1.360000014,1.379999995,1.394997612,buy,1.459019944,0.09901993,ford
2019-05-17,1.379999995,1.379999995,1.387309604,buy,1.394997612,0.014997617,ford
2019-05-20,1.379999995,1.370000005,1.384785683,buy,1.387309604,0.007309609,ford
2019-05-21,1.370000005,1.340000033,1.375478407,buy,1.384785683,0.014785679,ford
2019-05-22,1.340000033,1.309999943,1.352601135,buy,1.375478407,0.035478373,ford
2019-05-23,1.309999943,1.309999943,1.326836877,buy,1.352601135,0.042601193,ford
2019-05-24,1.309999943,1.320000052,1.318972582,buy,1.326836877,0.016836935,ford
2019-05-28,1.320000052,1.330000043,1.322377424,buy,1.318972582,-0.001027471,ford
2019-05-29,1.330000043,1.330000043,1.330935044,buy,1.322377424,-0.007622619,ford
2019-05-30,1.330000043,1.299999952,1.333842293,buy,1.330935044,0.000935001,ford
2019-05-31,1.299999952,1.269999981,1.315340924,buy,1.333842293,0.03384234,ford
