,epochs,batch,neuronsLSTM,neuronsDense,learningRate,mseTrain,mseTest
0,2000.0,100.0,80.0,20.0,0.05,0.10993284681337309,0.016782335898272466
1,2000.0,100.0,80.0,20.0,0.005,0.4127143639332949,0.3656821688282261
2,2000.0,100.0,80.0,20.0,0.0005,0.05481747739626192,0.0029111372463165976
3,2000.0,100.0,80.0,20.0,5e-05,0.1867792348258205,0.009518692196513016
4,2000.0,100.0,80.0,20.0,5e-06,0.2805617853146277,0.013119196177329573
5,2000.0,100.0,80.0,40.0,0.05,16.019311454121347,4.252841997926212
6,2000.0,100.0,80.0,40.0,0.005,0.04536764775623747,0.00725559482095353
7,2000.0,100.0,80.0,40.0,0.0005,0.106033713723573,0.02590016160422364
8,2000.0,100.0,80.0,40.0,5e-05,0.15703754649148954,0.01418147847559337
9,2000.0,100.0,80.0,40.0,5e-06,0.21607424322809463,0.013205760697415244
10,2000.0,100.0,80.0,80.0,0.05,15.954383178921786,3.8035380948936273
11,2000.0,100.0,80.0,80.0,0.005,0.4864575360717306,0.505728800168992
12,2000.0,100.0,80.0,80.0,0.0005,0.12638403032272372,0.046078388041165985
13,2000.0,100.0,80.0,80.0,5e-05,0.15530847898699374,0.008099740504015336
14,2000.0,100.0,80.0,80.0,5e-06,0.22460304159614577,0.016509438886850976
15,2000.0,100.0,80.0,100.0,0.05,16.082529451273295,0.11927562009841924
