date,stock,buyPrice,numShares,sellPrice,sellDate,profit
2018-11-19,forward,1.340000033,746,1.389999986,2018-11-26 0:00,37.3
2018-11-26,nordstrom,49.12676301,21,50.18651297,2018-12-04 0:00,22.26
2018-11-27,forward,1.370000005,4,1.370000005,2018-11-29 0:00,0
2018-11-30,forward,1.360000014,4,1.440000057,2018-12-04 0:00,0.32
2018-12-06,forward,1.350000024,785,1.419999957,2018-12-07 0:00,54.95
2018-12-07,nordstrom,48.01025322,23,44.05512883,2018-12-20 0:00,-90.97
2018-12-11,forward,1.409999967,7,1.440000057,2018-12-12 0:00,0.21
2018-12-13,forward,1.419999957,7,1.299999952,2018-12-28 0:00,-0.84
2018-12-20,forward,1.399999976,724,1.299999952,2018-12-28 0:00,-0.84
2018-12-31,forward,1.289999962,7,1.340000033,2019-01-03 0:00,0.35
2019-01-04,forward,1.320000052,7,1.370000005,2019-01-08 0:00,0.35
2019-01-09,forward,1.370000005,7,1.399999976,2019-01-11 0:00,0.21
2019-01-16,forward,1.470000029,7,1.460000038,2019-01-18 0:00,-0.07
2019-01-22,forward,1.450000048,7,1.470000029,2019-01-25 0:00,0.14
2019-01-30,forward,1.460000038,7,1.460000038,2019-02-01 0:00,0
2019-02-08,forward,1.549999952,6,1.570000052,2019-02-11 0:00,0.12
2019-02-12,forward,1.559999943,6,1.659999967,2019-02-13 0:00,0.6
2019-02-28,forward,1.620000005,6,1.629999995,2019-03-01 0:00,0.06
2019-03-11,forward,1.559999943,7,1.549999952,2019-03-13 0:00,-0.07
2019-03-15,forward,1.519999981,7,1.529999971,2019-03-19 0:00,0.07
2019-03-26,forward,1.460000038,7,1.470000029,2019-03-27 0:00,0.07
2019-03-29,forward,1.480000019,7,1.539999962,2019-04-03 0:00,0.42
2019-04-08,forward,1.480000019,8,1.529999971,2019-04-10 0:00,0.4
2019-04-11,forward,1.49000001,8,1.519999981,2019-04-12 0:00,0.24
2019-04-16,forward,1.539999962,8,1.600000024,2019-04-17 0:00,0.48
2019-04-23,forward,1.580000043,8,1.529999971,2019-04-26 0:00,-0.4
2019-04-29,forward,1.480000019,8,1.519999981,2019-04-30 0:00,0.32
2019-05-01,forward,1.5,8,1.5,2019-05-06 0:00,0
2019-05-07,forward,1.480000019,8,1.519999981,2019-05-08 0:00,0.32
2019-05-09,forward,1.5,8,1.480000019,2019-05-14 0:00,-0.16
2019-05-15,forward,1.450000048,9,1.279999971,2019-06-10 0:00,-1.53
2019-06-11,forward,1.220000029,9,1.24000001,2019-06-19 0:00,0.18
2019-06-20,forward,1.169999957,10,1.169999957,2019-07-19 0:00,0
2019-07-22,forward,1.070000052,10,1.149999976,2019-07-24 0:00,0.8
2019-07-26,forward,1.110000014,11,1.149999976,2019-07-29 0:00,0.44
2019-07-30,forward,1.139999986,11,1.139999986,2019-08-01 0:00,0
2019-08-02,forward,1.100000024,11,1.120000005,2019-08-08 0:00,0.22
2019-08-09,forward,1.059999943,12,1.090000033,2019-08-12 0:00,0.36
2019-08-14,forward,1.100000024,12,1.120000005,2019-08-19 0:00,0.24
2019-08-20,forward,1.100000024,12,1.120000005,2019-08-22 0:00,0.24
2019-08-23,forward,1.070000052,13,1.080000043,2019-08-29 0:00,0.13
2019-09-03,forward,1.059999943,13,1.090000033,2019-09-04 0:00,0.39
2019-09-05,forward,1.070000052,13,1.169999957,2019-09-06 0:00,1.3
2019-09-09,forward,1.110000014,14,1.149999976,2019-09-10 0:00,0.56
2019-09-13,forward,1.149999976,14,1.169999957,2019-09-18 0:00,0.28
2019-09-20,forward,1.120000005,14,1.149999976,2019-09-23 0:00,0.42
2019-09-24,forward,1.120000005,15,1.129999995,2019-09-25 0:00,0.15
2019-09-26,forward,1.110000014,15,1.120000005,2019-09-27 0:00,0.15
2019-09-30,forward,1,17,1.049999952,2019-10-02 0:00,0.85
2019-10-03,forward,0.980000019,18,1.049999952,2019-10-04 0:00,1.26
2019-10-07,forward,1.00999999,19,1.019999981,2019-10-08 0:00,0.19
2019-10-09,forward,1.019999981,19,1.039999962,2019-10-10 0:00,0.38
2019-10-11,forward,0.99000001,20,1.029999971,2019-10-14 0:00,0.8
2019-10-15,forward,1.00999999,20,1.059999943,2019-10-17 0:00,1
2019-10-18,forward,1,21,1.039999962,2019-10-21 0:00,0.84
2019-10-22,forward,0.980000019,23,1.080000043,2019-10-23 0:00,2.3
2019-10-25,forward,1.039999962,24,1.070000052,2019-10-30 0:00,0.72
2019-11-01,forward,1.019999981,25,1.059999943,2019-11-06 0:00,1
2019-11-08,forward,1.039999962,25,1.019999981,2019-11-14 0:00,-0.5
2019-11-15,forward,1.00999999,25,1.00999999,2019-11-19 0:00,0
2019-11-18,forward,1,1,1.00999999,2019-11-19 0:00,0
